         2321360 function calls (2294717 primitive calls) in 0.646 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      940    0.000    0.000    0.002    0.000 notation3.py:694(sparqlDirective)
      546    0.000    0.000    0.002    0.000 __init__.py:690(format)
    401/1    0.000    0.000    0.014    0.014 composer.py:63(compose_node)
      627    0.000    0.000    0.001    0.000 notation3.py:1853(newBlankNode)
     1769    0.000    0.000    0.001    0.000 graph.py:1444(get_edge_data)
     1408    0.000    0.000    0.001    0.000 reader.py:114(get_mark)
      259    0.000    0.000    0.001    0.000 generic.py:6119(__finalize__)
     2618    0.000    0.000    0.001    0.000 _translate.py:394(_get_ontology_mapping)
     1569    0.000    0.000    0.001    0.000 __init__.py:200(_is_internal_frame)
      870    0.000    0.000    0.271    0.000 notation3.py:785(statement)
     1008    0.000    0.000    0.001    0.000 <class 'networkx.utils.decorators.argmap'> compilation 40:1(argmap_dfs_edges_37)
     1012    0.000    0.000    0.001    0.000 <class 'networkx.utils.decorators.argmap'> compilation 4:1(argmap___new___1)
      587    0.000    0.000    0.001    0.000 scanner.py:752(scan_to_next_token)
      546    0.000    0.000    0.006    0.000 __init__.py:1011(handle)
      119    0.000    0.000    0.000    0.000 {built-in method posix.stat}
     1001    0.000    0.000    0.000    0.000 {built-in method fromkeys}
     1435    0.000    0.000    0.008    0.000 graph.py:1143(value)
     1436    0.000    0.000    0.001    0.000 graph.py:2013(nbunch_iter)
     4153    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      523    0.000    0.000    0.012    0.000 __init__.py:1660(_log)
     2870    0.000    0.000    0.000    0.000 {method 'rsplit' of 'str' objects}
     1000    0.000    0.000    0.001    0.000 _create.py:184(__post_init__)
      524    0.000    0.000    0.001    0.000 generic.py:6196(__setattr__)
     1618    0.000    0.000    0.000    0.000 _translate.py:145(_get_preferred_id)
       99    0.000    0.000    0.001    0.000 base.py:563(find)
     6472    0.000    0.000    0.000    0.000 _create.py:96(get_id)
     2631    0.000    0.000    0.000    0.000 enum.py:202(__get__)
     1169    0.000    0.000    0.001    0.000 notation3.py:122(join)
      546    0.000    0.000    0.002    0.000 __init__.py:1137(flush)
      200    0.000    0.000    0.001    0.000 scanner.py:545(fetch_value)
      523    0.000    0.000    0.001    0.000 __init__.py:622(formatTime)
     4320    0.000    0.000    0.000    0.000 scanner.py:264(next_possible_simple_key)
       94    0.000    0.000    0.001    0.000 construction.py:531(sanitize_array)
        1    0.000    0.000    0.280    0.280 notation3.py:501(feed)
      500    0.000    0.000    0.011    0.000 __init__.py:1517(debug)
     2013    0.000    0.000    0.000    0.000 graph.py:487(__len__)
     1518    0.000    0.000    0.000    0.000 reportviews.py:799(<genexpr>)
       13    0.000    0.000    0.000    0.000 {built-in method _io.open}
     1518    0.000    0.000    0.000    0.000 reportviews.py:882(<genexpr>)
      546    0.000    0.000    0.005    0.000 __init__.py:1148(emit)
      110    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
      523    0.000    0.000    0.006    0.000 __init__.py:1746(callHandlers)
      303    0.000    0.000    0.003    0.000 config.py:650(_select_options)
     1673    0.000    0.000    0.000    0.000 reportviews.py:190(__getitem__)
      222    0.000    0.000    0.001    0.000 copy.py:61(copy)
      324    0.000    0.000    0.000    0.000 generic.py:258(__init__)
     1435    0.000    0.000    0.000    0.000 _misc.py:219(to_lower_sentence_case)
     1049    0.000    0.000    0.013    0.000 parser.py:94(check_event)
     1008    0.000    0.000    0.022    0.000 _ontology.py:754(get_ancestors)
      523    0.000    0.000    0.000    0.000 {built-in method time.localtime}
      386    0.000    0.000    0.001    0.000 composer.py:88(compose_scalar_node)
     7647    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
