['data/subset_interactions_edgecases.tsv']
         2366545 function calls (2328730 primitive calls) in 2.216 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1124    0.003    0.000    0.057    0.000 <frozen importlib._bootstrap_external>:1487(_get_spec)
      556    0.003    0.000    0.018    0.000 typing.py:1216(__init__)
  2492/16    0.003    0.000    0.856    0.054 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
      940    0.003    0.000    0.008    0.000 notation3.py:581(directive)
      708    0.003    0.000    0.005    0.000 functools.py:35(update_wrapper)
     3364    0.003    0.000    0.027    0.000 graph.py:850(objects)
     1011    0.003    0.000    0.031    0.000 <frozen importlib._bootstrap_external>:1182(get_data)
    10668    0.003    0.000    0.003    0.000 events.py:79(dispatch)
   1010/7    0.002    0.000    0.858    0.123 <frozen importlib._bootstrap_external>:988(exec_module)
     6864    0.002    0.000    0.003    0.000 {built-in method builtins.setattr}
 1869/440    0.002    0.000    0.003    0.000 _parser.py:174(getwidth)
   100/99    0.002    0.000    0.004    0.000 __init__.py:820(insert_trie)
     1880    0.002    0.000    0.004    0.000 notation3.py:564(sparqlTok)
       20    0.002    0.000    0.005    0.000 enum.py:1679(convert_class)
     1144    0.002    0.000    0.021    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
     3725    0.002    0.000    0.003    0.000 __init__.py:238(__getattr__)
  686/168    0.002    0.000    0.037    0.000 _parser.py:445(_parse_sub)
     8318    0.002    0.000    0.002    0.000 typing.py:1570(<genexpr>)
     4507    0.002    0.000    0.004    0.000 typing.py:1110(_is_dunder)
     1009    0.002    0.000    0.072    0.000 __init__.py:280(_compile)
      414    0.002    0.000    0.007    0.000 traceback.py:463(format_frame_summary)
     1770    0.002    0.000    0.030    0.000 graph.py:680(__contains__)
     2303    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:74(__new__)
     7148    0.002    0.000    0.002    0.000 {method 'rpartition' of 'str' objects}
      708    0.002    0.000    0.004    0.000 typing.py:1580(__hash__)
      940    0.002    0.000    0.736    0.001 notation3.py:516(directiveOrStatement)
     9183    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
     5281    0.002    0.000    0.093    0.000 notation3.py:873(prop)
      459    0.002    0.000    0.002    0.000 {built-in method builtins.print}
        1    0.002    0.002    0.073    0.073 _ontology.py:115(_get_one_to_one_inheritance_triples)
    10743    0.002    0.000    0.002    0.000 {method 'items' of 'dict' objects}
     2348    0.002    0.000    0.004    0.000 {built-in method builtins.max}
     3029    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
     3693    0.002    0.000    0.002    0.000 reader.py:99(forward)
1108/1096    0.002    0.000    0.045    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
        1    0.002    0.002    0.033    0.033 _ontology.py:238(_add_labels_to_nodes)
     1434    0.002    0.000    0.004    0.000 reportviews.py:771(__init__)
     1010    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:665(_classify_pyc)
     2303    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:79(__init__)
      270    0.002    0.000    0.014    0.000 _decorators.py:363(decorator)
     5553    0.002    0.000    0.002    0.000 {method 'endswith' of 'str' objects}
      203    0.002    0.000    0.004    0.000 scanner.py:752(scan_to_next_token)
      117    0.002    0.000    0.004    0.000 {built-in method _io.open}
 1195/540    0.002    0.000    0.366    0.001 <frozen importlib._bootstrap>:1384(_handle_fromlist)
     2180    0.002    0.000    0.002    0.000 term.py:2064(_castLexicalToPython)
     7239    0.002    0.000    0.002    0.000 {method 'lower' of 'str' objects}
     4345    0.002    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
     4055    0.002    0.000    0.002    0.000 {method 'find' of 'str' objects}
     1175    0.002    0.000    0.002    0.000 term.py:1255(__eq__)
       44    0.002    0.000    0.008    0.000 traceback.py:402(_extract_from_extended_frame_gen)
      209    0.002    0.000    0.006    0.000 <frozen abc>:105(__new__)
     8040    0.002    0.000    0.002    0.000 {built-in method _imp.acquire_lock}
     6593    0.002    0.000    0.002    0.000 _parser.py:249(match)
     1079    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1584(_get_spec)
     1929    0.001    0.000    0.024    0.000 graph.py:1000(value)
  868/755    0.001    0.000    0.041    0.000 typing.py:371(inner)
       90    0.001    0.000    0.003    0.000 __init__.py:347(__new__)
2130/2031    0.001    0.000    0.059    0.000 {built-in method builtins.next}
     2303    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:82(remove)
       21    0.001    0.000    0.002    0.000 {method 'readlines' of '_io._IOBase' objects}
     1769    0.001    0.000    0.002    0.000 graph.py:1433(get_edge_data)
     4430    0.001    0.000    0.002    0.000 misc.py:595(_clear_cache)
     1079    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:610(_get_cached)
     1010    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:698(_validate_timestamp_pyc)
     8040    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
      627    0.001    0.000    0.002    0.000 notation3.py:1840(newBlankNode)
     5190    0.001    0.000    0.001    0.000 {method 'keys' of 'dict' objects}
      721    0.001    0.000    0.002    0.000 digraph.py:439(add_node)
     2180    0.001    0.000    0.002    0.000 term.py:104(_is_valid_unicode)
     1150    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:232(__init__)
     1929    0.001    0.000    0.002    0.000 _ontology.py:363(_remove_prefix)
     1653    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
     1150    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:445(cb)
     4610    0.001    0.000    0.001    0.000 {method '__exit__' of '_thread.RLock' objects}
     4042    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
     3865    0.001    0.000    0.001    0.000 {method 'rsplit' of 'str' objects}
     1929    0.001    0.000    0.004    0.000 _misc.py:219(to_lower_sentence_case)
     4587    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:1220(__exit__)
      751    0.001    0.000    0.002    0.000 inspect.py:2135(_signature_is_functionlike)
  534/119    0.001    0.000    0.001    0.000 {built-in method _abc._abc_subclasscheck}
     1434    0.001    0.000    0.005    0.000 reportviews.py:1102(__call__)
      940    0.001    0.000    0.005    0.000 notation3.py:681(sparqlDirective)
      490    0.001    0.000    0.001    0.000 _inspect.py:65(getargs)
     1159    0.001    0.000    0.023    0.000 <frozen importlib._bootstrap>:416(__enter__)
      870    0.001    0.000    0.720    0.001 notation3.py:772(statement)
     4587    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:1216(__enter__)
      240    0.001    0.000    0.018    0.000 typing.py:666(Union)
     4417    0.001    0.000    0.001    0.000 {built-in method builtins.min}
      265    0.001    0.000    0.007    0.000 overrides.py:142(decorator)
       70    0.001    0.000    0.002    0.000 notation3.py:1971(hexify)
      780    0.001    0.000    0.002    0.000 typing.py:1152(__getattr__)
     1658    0.001    0.000    0.002    0.000 reportviews.py:190(__getitem__)
      234    0.001    0.000    0.001    0.000 _compiler.py:384(_mk_bitmap)
1012/1009    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:642(_check_name_wrapper)
      801    0.001    0.000    0.004    0.000 inspect.py:384(_has_code_flag)
      333    0.001    0.000    0.001    0.000 typing.py:2424(overload)
     1837    0.001    0.000    0.002    0.000 scanner.py:145(need_more_tokens)
    11030    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
     2303    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:173(__exit__)
     3966    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
     1013    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:48(_new_module)
     1693    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1465(_path_importer_cache)
      108    0.001    0.000    0.002    0.000 enum.py:249(__set_name__)
       93    0.001    0.000    0.008    0.000 typing.py:725(Literal)
     2680    0.001    0.000    0.001    0.000 {method 'rfind' of 'str' objects}
     3923    0.001    0.000    0.001    0.000 _parser.py:160(__len__)
      304    0.001    0.000    0.001    0.000 decorators.py:28(not_implemented_for)
        1    0.001    0.001    0.743    0.743 notation3.py:488(feed)
      209    0.001    0.000    0.001    0.000 {built-in method _abc._abc_init}
      117    0.001    0.000    0.003    0.000 scanner.py:1270(scan_plain)
     1519    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
     2602    0.001    0.000    0.001    0.000 _parser.py:172(append)
      230    0.001    0.000    0.004    0.000 overrides.py:83(verify_matching_signatures)
     1808    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:645(parent)
     1518    0.001    0.000    0.001    0.000 reportviews.py:799(<genexpr>)
     9999    0.001    0.000    0.001    0.000 __init__.py:128(_days_in_year)
     2089    0.001    0.000    0.014    0.000 <frozen importlib._bootstrap>:632(cached)
     1124    0.001    0.000    0.058    0.000 <frozen importlib._bootstrap_external>:1516(find_spec)
     4736    0.001    0.000    0.001    0.000 {built-in method _thread.get_ident}
      168    0.001    0.000    0.006    0.000 _compiler.py:509(_compile_info)
     2664    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
     1436    0.001    0.000    0.001    0.000 graph.py:1992(nbunch_iter)
     2290    0.001    0.000    0.004    0.000 traceback.py:321(line)
     9999    0.001    0.000    0.001    0.000 __init__.py:117(_is_leap_year)
      333    0.001    0.000    0.003    0.000 typing.py:310(_deduplicate)
     1010    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1201(path_stats)
     1146    0.001    0.000    0.011    0.000 scanner.py:113(check_token)
       21    0.001    0.000    0.005    0.000 typing.py:2728(__new__)
     4285    0.001    0.000    0.001    0.000 {built-in method posix.fspath}
     1125    0.001    0.000    0.001    0.000 {built-in method _imp.find_frozen}
       19    0.001    0.000    0.001    0.000 arrayprint.py:1678(_guarded_repr_or_str)
      168    0.001    0.000    0.067    0.000 _compiler.py:738(compile)
     2010    0.001    0.000    0.001    0.000 {built-in method fromkeys}
     3107    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
     1170    0.001    0.000    0.001    0.000 notation3.py:121(join)
     6817    0.001    0.000    0.001    0.000 reader.py:87(peek)
      752    0.001    0.000    0.001    0.000 _compiler.py:214(_compile_charset)
       13    0.001    0.000    0.005    0.000 enum.py:902(_convert_)
     2574    0.001    0.000    0.001    0.000 {method 'replace' of 'str' objects}
     2616    0.001    0.000    0.001    0.000 _parser.py:286(tell)
       32    0.001    0.000    0.002    0.000 inspect.py:2368(_signature_from_function)
   490/80    0.001    0.000    0.440    0.006 {built-in method builtins.__import__}
        7    0.001    0.000    0.021    0.003 exceptions.py:1(<module>)
      311    0.001    0.000    0.003    0.000 function_base.py:487(add_newdoc)
     3872    0.001    0.000    0.001    0.000 typing.py:1220(<genexpr>)
